team,stadium,city,capacity_2026_27,capacity_note,founded_year,status_for_2026_27,previous_season_context
Arsenal,Emirates Stadium,London,60704,,1886,Stayed up,"Champions 2025/26 (85 pts), first title in 22 years"
Aston Villa,Villa Park,Birmingham,37000,"Reduced from ~42,918 due to North Stand closure/redevelopment for 2026/27 only",1874,Stayed up,Qualified for Champions League 2025/26; won record 5th UEFA Europa League
AFC Bournemouth,Vitality Stadium,Bournemouth,11364,,1899,Stayed up,"6th place 2025/26, first-ever European qualification (Europa League)"
Brentford,Gtech Community Stadium,London,17250,,1889,Stayed up,Equalled club's highest-ever Premier League finish (9th) in 2025/26
Brighton & Hove Albion,American Express Stadium,Brighton,31800,,1901,Stayed up,"8th place 2025/26, qualified for UEFA Conference League"
Chelsea,Stamford Bridge,London,40343,,1905,Stayed up,2025/26 season under new manager Xabi Alonso from July 2026
Coventry City,Coventry Building Society Arena,Coventry,32609,,1883,Promoted (Championship champions),Won the 2025/26 EFL Championship title under Frank Lampard
Crystal Palace,Selhurst Park,London,25486,,1905,Stayed up,New head coach Pierre Sage appointed June 2026
Everton,Hill Dickinson Stadium,Liverpool,52769,"New stadium at Bramley-Moore Dock, opened 2025",1878,Stayed up,First full season with David Moyes back as permanent manager
Fulham,Craven Cottage,London,29600,,1879,Stayed up,New head coach Alvaro Arbeloa appointed July 2026
Hull City,MKM Stadium,Hull,25586,,1904,Promoted (Play-off winners),Beat Middlesbrough in the 2025/26 Championship play-off final
Ipswich Town,Portman Road,Ipswich,30014,,1878,Promoted (Automatic - 2nd),Secured automatic promotion from the Championship in 2025/26
Leeds United,Elland Road,Leeds,37792,,1919,Stayed up,Retained Premier League status after promotion in 2024/25
Liverpool,Anfield,Liverpool,61276,,1892,Stayed up,New head coach Andoni Iraola replaced Arne Slot in June 2026
Manchester City,Etihad Stadium,Manchester,61000,"Capacity increased from ~53,400 after North Stand expansion completed May 2026",1880,Stayed up,New head coach Enzo Maresca succeeded Pep Guardiola
Manchester United,Old Trafford,Manchester,75653,,1878,Stayed up,Michael Carrick confirmed as permanent head coach after 2025/26 season
Newcastle United,St James' Park,Newcastle,52305,,1892,Stayed up,Eddie Howe enters sixth full season in charge
Nottingham Forest,City Ground,Nottingham,30445,"Redevelopment of Peter Taylor Stand approved (Jan 2026) but not yet begun for 2026/27; will eventually raise capacity toward 45,000+",1865,Stayed up,New head coach Oliver Glasner appointed July 2026
Sunderland,Stadium of Light,Sunderland,48707,,1879,Stayed up,"7th place 2025/26 in first season back, first European qualification in 53 years"
Tottenham Hotspur,Tottenham Hotspur Stadium,London,62062,,1882,Stayed up,New head coach Roberto De Zerbi appointed end of 2025/26 season
