team,manager,manager_nationality,appointed,previous_club_as_manager,notable_honours_as_manager
Arsenal,Mikel Arteta,Spanish,December 2019,Manchester City (assistant),Premier League title (2025/26); FA Cup winner
Aston Villa,Unai Emery,Spanish,October 2022,Villarreal,"3x Europa League (Sevilla), 1x Europa League (Villarreal), record 5th Europa League (Aston Villa 2025/26), Ligue 1 (PSG)"
AFC Bournemouth,Marco Rose,German,Summer 2025,RB Leipzig,DFB-Pokal (RB Leipzig); Bundesliga runner-up (Borussia Dortmund)
Brentford,Keith Andrews,Irish,June 2025,Brentford (set-piece coach; internal promotion),First permanent managerial role
Brighton & Hove Albion,Fabian Hurzeler,German,June 2024,St. Pauli,2. Bundesliga title/promotion with St Pauli
Chelsea,Xabi Alonso,Spanish,July 2026,Real Madrid,Bundesliga & DFB-Pokal double (Bayer Leverkusen 2023/24)
Coventry City,Frank Lampard,English,November 2024,Everton,EFL Championship title 2025/26 (Coventry); 3x Premier League title & Champions League as player (Chelsea)
Crystal Palace,Pierre Sage,French,June 2026,RC Lens,Coupe de France winner (Lens 2025/26)
Everton,David Moyes,Scottish,January 2025 (2nd spell),West Ham United,UEFA Conference League winner (West Ham 2022/23)
Fulham,Alvaro Arbeloa,Spanish,July 2026,"Real Madrid (interim, first-team)","Champions League x2, LaLiga, Copa del Rey x2 (as player)"
Hull City,Sergej Jakirovic,Croatian,Summer 2025,Kayserispor,"Bosnian Premier League title & cup double (Dinamo Zagreb); led Hull to promotion via play-offs 2025/26"
Ipswich Town,Gary O'Neil,English,June 2026,Strasbourg,Guided Bournemouth to Premier League safety (2022/23); Conference League semi-final (Strasbourg)
Leeds United,Daniel Farke,German,July 2023,Borussia Monchengladbach,"2x Championship title (Norwich City 2018/19, 2020/21); Championship title with Leeds (100 pts)"
Liverpool,Andoni Iraola,Spanish,June 2026,AFC Bournemouth,Guided Bournemouth to first-ever European qualification (2025/26)
Manchester City,Enzo Maresca,Italian,Summer 2026,Chelsea,"UEFA Conference League & FIFA Club World Cup winner (Chelsea); Championship title (Leicester City)"
Manchester United,Michael Carrick,English,13 January 2026 (permanent),Middlesbrough,"5x Premier League title, Champions League, FA Cup (as player); guided Man Utd to 3rd in 2025/26"
Newcastle United,Matthias Jaissle,German,August 2026,Al Ahli (Saudi Pro League),"2x AFC Champions League Elite (Al Ahli, back-to-back); 2x Austrian Bundesliga title & domestic cup (Red Bull Salzburg)"
Nottingham Forest,Oliver Glasner,Austrian,July 2026,Crystal Palace,"FA Cup & UEFA Conference League double (Crystal Palace, back-to-back seasons); Europa League winner (Eintracht Frankfurt)"
Sunderland,Regis Le Bris,French,June 2024,Lorient (reserve team),Guided Sunderland to promotion via play-offs (2024/25) then 7th-place finish and European qualification (2025/26)
Tottenham Hotspur,Roberto De Zerbi,Italian,End of 2025/26 season,Marseille,"Guided Brighton to best-ever Premier League finish (6th, 2022/23); Ukrainian Super Cup (Shakhtar Donetsk)"
