Team_Name,Season,Squad_Value_Total,Squad_Value_Mean,Squad_Size,Season_Year
AFC Bournemouth,1516,99900000.0,2561538.4615384615,39,2015
AFC Bournemouth,1617,131600000.0,4112500.0,32,2016
AFC Bournemouth,1718,144500000.0,4816666.666666667,30,2017
AFC Bournemouth,1819,310000000.0,9117647.05882353,34,2018
AFC Bournemouth,1920,272175000.0,8505468.75,32,2019
AFC Bournemouth,2223,287200000.0,7180000.0,40,2022
AFC Bournemouth,2324,401750000.0,10572368.421052631,38,2023
AFC Bournemouth,2425,416600000.0,15429629.629629629,27,2024
AFC Bournemouth,2526,659175000.0,19975000.0,33,2025
AFC Bournemouth,2627,537875000.0,18547413.79310345,29,2026
Arsenal FC,0001,0.0,,0,2000
Arsenal FC,0102,0.0,,0,2001
Arsenal FC,0203,0.0,,0,2002
Arsenal FC,0304,0.0,,0,2003
Arsenal FC,0405,245150000.0,8755357.142857144,28,2004
Arsenal FC,0506,231830000.0,7025151.515151516,33,2005
Arsenal FC,0607,261375000.0,7687500.0,34,2006
Arsenal FC,0708,259700000.0,8656666.666666666,30,2007
Arsenal FC,0809,309450000.0,8841428.57142857,35,2008
Arsenal FC,0910,314300000.0,7483333.333333333,42,2009
Arsenal FC,1011,324000000.0,10125000.0,32,2010
Arsenal FC,1112,360925000.0,9754729.72972973,37,2011
Arsenal FC,1213,296600000.0,9886666.666666666,30,2012
Arsenal FC,1314,378950000.0,11145588.235294119,34,2013
Arsenal FC,1415,414750000.0,11850000.0,35,2014
Arsenal FC,1516,457850000.0,12048684.210526315,38,2015
Arsenal FC,1617,542000000.0,14648648.64864865,37,2016
Arsenal FC,1718,694000000.0,18756756.756756756,37,2017
Arsenal FC,1819,659050000.0,18830000.0,35,2018
Arsenal FC,1920,607650000.0,19601612.903225806,31,2019
Arsenal FC,2021,619250000.0,16736486.486486487,37,2020
Arsenal FC,2122,613050000.0,17029166.666666668,36,2021
Arsenal FC,2223,1000700000.0,27045945.945945945,37,2022
Arsenal FC,2324,1203050000.0,30076250.0,40,2023
Arsenal FC,2425,1110500000.0,46270833.333333336,24,2024
Arsenal FC,2526,1280500000.0,49250000.0,26,2025
Arsenal FC,2627,1341500000.0,46258620.68965517,29,2026
Arsenal FC,9293,0.0,,0,1992
Arsenal FC,9394,0.0,,0,1993
Arsenal FC,9495,0.0,,0,1994
Arsenal FC,9596,0.0,,0,1995
Arsenal FC,9697,0.0,,0,1996
Arsenal FC,9798,0.0,,0,1997
Arsenal FC,9899,0.0,,0,1998
Arsenal FC,9900,0.0,,0,1999
Aston Villa,0001,0.0,,0,2000
Aston Villa,0102,0.0,,0,2001
Aston Villa,0203,0.0,,0,2002
Aston Villa,0304,0.0,,0,2003
Aston Villa,0405,84130000.0,3365200.0,25,2004
Aston Villa,0506,83400000.0,3088888.888888889,27,2005
Aston Villa,0607,102850000.0,3428333.3333333335,30,2006
Aston Villa,0708,107600000.0,4483333.333333333,24,2007
Aston Villa,0809,148650000.0,7078571.428571428,21,2008
Aston Villa,0910,167375000.0,5399193.548387097,31,2009
Aston Villa,1011,202800000.0,5794285.714285715,35,2010
Aston Villa,1112,123500000.0,3983870.9677419355,31,2011
Aston Villa,1213,110500000.0,3810344.827586207,29,2012
Aston Villa,1314,109500000.0,3220588.2352941176,34,2013
Aston Villa,1415,114250000.0,3462121.212121212,33,2014
Aston Villa,1516,117950000.0,3469117.6470588236,34,2015
Aston Villa,1920,231700000.0,6620000.0,35,2019
Aston Villa,2021,430700000.0,8789795.918367347,49,2020
Aston Villa,2122,487750000.0,11896341.463414634,41,2021
Aston Villa,2223,509550000.0,13771621.621621622,37,2022
Aston Villa,2324,709650000.0,17308536.585365854,41,2023
Aston Villa,2425,618500000.0,22907407.407407407,27,2024
Aston Villa,2526,608000000.0,20965517.24137931,29,2025
Aston Villa,2627,525200000.0,19451851.85185185,27,2026
Aston Villa,9293,0.0,,0,1992
Aston Villa,9394,0.0,,0,1993
Aston Villa,9495,0.0,,0,1994
Aston Villa,9596,0.0,,0,1995
Aston Villa,9697,0.0,,0,1996
Aston Villa,9798,0.0,,0,1997
Aston Villa,9899,0.0,,0,1998
Aston Villa,9900,0.0,,0,1999
Barnsley FC,9798,0.0,,0,1997
Birmingham City,0203,0.0,,0,2002
Birmingham City,0304,0.0,,0,2003
Birmingham City,0405,106925000.0,3240151.515151515,33,2004
Birmingham City,0506,81830000.0,2479696.9696969697,33,2005
Birmingham City,0708,71400000.0,2856000.0,25,2007
Birmingham City,0910,69655000.0,2048676.4705882352,34,2009
Birmingham City,1011,95375000.0,3179166.6666666665,30,2010
Blackburn Rovers,0102,0.0,,0,2001
Blackburn Rovers,0203,0.0,,0,2002
Blackburn Rovers,0304,0.0,,0,2003
Blackburn Rovers,0405,73700000.0,2303125.0,32,2004
Blackburn Rovers,0506,63800000.0,2362962.962962963,27,2005
Blackburn Rovers,0607,75200000.0,2593103.4482758623,29,2006
Blackburn Rovers,0708,88600000.0,2394594.5945945946,37,2007
Blackburn Rovers,0809,83799999.0,3223076.8846153845,26,2008
Blackburn Rovers,0910,91625000.0,2694852.9411764704,34,2009
Blackburn Rovers,1011,91525000.0,2615000.0,35,2010
Blackburn Rovers,1112,80000000.0,2424242.4242424243,33,2011
Blackburn Rovers,9293,0.0,,0,1992
Blackburn Rovers,9394,0.0,,0,1993
